ds,statefips,y,yhat,yhat_upper,yhat_lower
2020-01-19,28,-0.00671,-0.054760884,0.022049995,-0.13339718
2020-01-20,28,-0.0366,-0.055991344,0.024890121,-0.13575925
2020-01-21,28,-0.0276,-0.054800797,0.02145556,-0.1357796
2020-01-22,28,-0.053,-0.055283647,0.023542488,-0.13001211
2020-01-23,28,0.021,-0.054149635,0.020746117,-0.12686059
2020-01-24,28,0.0212,-0.05427947,0.01992943,-0.13458228
2020-01-25,28,0.0162,-0.052955188,0.024880603,-0.13762903
2020-01-26,28,0.00297,-0.051472124,0.023161385,-0.12578732
2020-01-27,28,-0.0271,-0.05270258,0.02788428,-0.12842862
2020-01-28,28,-0.0369,-0.051512036,0.030383052,-0.13307509
2020-01-29,28,-0.0324,-0.051994883,0.025771067,-0.12609446
2020-01-30,28,-0.0266,-0.05086087,0.029227959,-0.1306474
2020-01-31,28,-0.00334,-0.05099071,0.026903965,-0.12778834
2020-02-01,28,0.00234,-0.049666427,0.03159177,-0.12312421
2020-02-02,28,-0.00572,-0.04818336,0.033973254,-0.12726524
2020-02-03,28,-0.00565,-0.049413815,0.02451977,-0.1284236
2020-02-04,28,-0.000937,-0.048223272,0.033755176,-0.13018592
2020-02-05,28,-0.0177,-0.04870612,0.028240606,-0.12698296
2020-02-06,28,-0.0362,-0.04757211,0.0331749,-0.1222387
2020-02-07,28,-0.0417,-0.047701944,0.029229011,-0.12316396
2020-02-08,28,-0.0408,-0.046377663,0.030500362,-0.12031337
2020-02-09,28,-0.0214,-0.044894595,0.03623676,-0.12858525
2020-02-10,28,-0.0272,-0.046125054,0.03332683,-0.12194429
2020-02-11,28,-0.0233,-0.04493451,0.031536162,-0.12773938
2020-02-12,28,-0.00739,-0.045417357,0.024605347,-0.1277482
2020-02-13,28,0.0153,-0.044283345,0.032968286,-0.11886806
2020-02-14,28,0.0256,-0.04441318,0.03586145,-0.11717099
2020-02-15,28,0.019,-0.043088898,0.034553234,-0.11763904
2020-02-16,28,0.0143,-0.041605834,0.03487759,-0.119052336
2020-02-17,28,-0.00657,-0.04283629,0.035727818,-0.12058045
2020-02-18,28,-0.0174,-0.041645747,0.034834277,-0.12187455
2020-02-19,28,-0.0168,-0.042128593,0.030052634,-0.12228681
2020-02-20,28,-0.0229,-0.04099458,0.039200846,-0.115649536
2020-02-21,28,-0.0315,-0.04112442,0.038910914,-0.12002658
2020-02-22,28,-0.0256,-0.039800137,0.03863023,-0.11582811
2020-02-23,28,-0.0196,-0.03831707,0.051856305,-0.11248744
